"Date","Price","Open","High","Low","Change %"
"Sep 22, 2017","3,598.50","3,597.30","3,743.60","3,493.50","-0.14"
"Sep 21, 2017","3,603.40","3,875.50","3,903.70","3,564.40","-6.97"
"Sep 20, 2017","3,873.20","3,892.20","4,048.00","3,834.10","-0.69"
"Sep 19, 2017","3,900.00","4,084.40","4,110.00","3,836.20","-4.51"
"Sep 18, 2017","4,084.10","3,667.00","4,113.90","3,667.00","11.40"
"Sep 17, 2017","3,666.30","3,680.10","3,775.90","3,476.30","-0.52"
"Sep 16, 2017","3,685.40","3,697.10","3,874.00","3,511.10","-0.34"
"Sep 15, 2017","3,698.00","3,237.40","3,809.00","2,981.00","14.20"
"Sep 14, 2017","3,238.10","3,850.20","3,917.20","3,206.20","-15.89"
"Sep 13, 2017","3,849.70","4,149.40","4,159.60","3,734.00","-7.08"
"Sep 12, 2017","4,142.90","4,198.90","4,378.40","4,055.50","-1.43"
"Sep 11, 2017","4,203.00","4,234.90","4,373.10","4,123.00","-0.69"
"Sep 10, 2017","4,232.10","4,315.40","4,325.00","3,975.80","-1.99"
"Sep 09, 2017","4,317.90","4,304.00","4,381.20","4,159.40","0.28"
"Sep 08, 2017","4,305.80","4,613.50","4,686.20","4,107.10","-6.67"
"Sep 07, 2017","4,613.50","4,594.60","4,672.80","4,465.30","0.53"
"Sep 06, 2017","4,589.10","4,375.00","4,631.40","4,361.40","4.90"
"Sep 05, 2017","4,374.90","4,210.60","4,469.90","3,900.10","4.15"
"Sep 04, 2017","4,200.40","4,599.20","4,606.00","4,056.50","-8.59"
"Sep 03, 2017","4,595.00","4,534.20","4,699.80","4,331.00","1.34"
"Sep 02, 2017","4,534.40","4,911.80","4,969.00","4,400.50","-7.55"
"Sep 01, 2017","4,904.90","4,718.30","4,927.40","4,660.70","3.96"
"Aug 31, 2017","4,718.20","4,567.90","4,749.90","4,567.90","3.27"
"Aug 30, 2017","4,569.00","4,586.60","4,641.10","4,481.10","-0.39"
"Aug 29, 2017","4,587.10","4,385.10","4,644.20","4,336.70","4.64"
"Aug 28, 2017","4,383.80","4,330.70","4,395.20","4,175.70","1.20"
"Aug 27, 2017","4,331.80","4,340.20","4,405.70","4,305.00","-0.23"
"Aug 26, 2017","4,341.70","4,351.50","4,364.00","4,243.60","-0.23"
"Aug 25, 2017","4,351.50","4,324.10","4,461.20","4,277.40","0.61"
"Aug 24, 2017","4,325.20","4,135.00","4,370.80","4,093.00","4.75"
"Aug 23, 2017","4,129.10","4,086.90","4,248.60","4,055.90","1.35"
"Aug 22, 2017","4,074.00","3,998.90","4,140.00","3,600.00","1.79"
"Aug 21, 2017","4,002.50","4,066.30","4,093.50","3,956.40","-1.52"
"Aug 20, 2017","4,064.30","4,145.00","4,192.00","4,040.90","-1.95"
"Aug 19, 2017","4,145.10","4,088.20","4,184.10","3,920.00","1.34"
"Aug 18, 2017","4,090.20","4,269.70","4,359.00","3,957.00","-3.99"
"Aug 17, 2017","4,260.00","4,386.40","4,489.10","4,178.10","-2.88"
"Aug 16, 2017","4,386.30","4,160.00","4,403.60","3,928.10","5.65"
"Aug 15, 2017","4,151.90","4,321.00","4,430.00","3,841.90","-3.88"
"Aug 14, 2017","4,319.50","4,061.60","4,330.30","3,969.30","6.57"
"Aug 13, 2017","4,053.30","3,866.20","4,183.70","3,836.10","4.86"
"Aug 12, 2017","3,865.50","3,643.40","3,965.40","3,590.00","6.08"
"Aug 11, 2017","3,644.10","3,404.70","3,690.60","3,380.00","6.93"
"Aug 10, 2017","3,407.90","3,340.20","3,444.40","3,310.00","2.04"
"Aug 09, 2017","3,339.90","3,415.00","3,424.40","3,236.80","-2.20"
"Aug 08, 2017","3,415.00","3,395.00","3,482.90","3,343.80","0.54"
"Aug 07, 2017","3,396.70","3,232.50","3,440.00","3,190.00","5.23"
"Aug 06, 2017","3,227.90","3,255.00","3,309.80","3,156.00","-0.88"
"Aug 05, 2017","3,256.40","2,860.00","3,331.90","2,855.00","13.86"
"Aug 04, 2017","2,860.00","2,790.30","2,874.80","2,762.60","2.50"
"Aug 03, 2017","2,790.30","2,702.00","2,813.00","2,698.00","3.27"
"Aug 02, 2017","2,702.00","2,733.80","2,757.80","2,640.00","-1.07"
"Aug 01, 2017","2,731.20","2,854.30","2,901.60","2,615.80","-4.37"
"Jul 31, 2017","2,856.00","2,748.90","2,883.50","2,694.80","3.89"
"Jul 30, 2017","2,749.00","2,713.70","2,756.20","2,595.00","1.29"
"Jul 29, 2017","2,714.10","2,784.80","2,794.20","2,662.60","-2.54"
